TCGA_barcode	253J	253JBV	5637	639V	647V	BC3C	BFTC905	CAL29	HS172T	HT1197	HT1376	J82	JMSU1	KMBC2	KU1919	RT112	RT4	SCABER	SW1710	SW780	T24	TCCSUP	UBLC1	UMUC1	UMUC3	VMCUB1
TCGA-GV-A3JX-01	0.516064568154718	0.520144225775492	0.647522525916261	0.521160512565213	0.644945066626589	0.577176870226966	0.657403587034554	0.708708369383744	0.528679293819808	0.591406612106579	0.57412907876171	0.581596761709838	0.52235041611594	0.712697917103972	0.57225010171203	0.687790383339245	0.690275247318479	0.622908919889104	0.550738337623554	0.668263358641003	0.581750341265415	0.554297834020137	0.611512302591229	0.688825682139444	0.484805786683543	0.594116211019222
TCGA-GV-A3JZ-01	0.573577308306939	0.573128594060912	0.664129411292914	0.582976379401874	0.631477553475093	0.589716762086877	0.629019036343904	0.666996476695097	0.578026730401021	0.594886110287655	0.552857856914104	0.607120100011114	0.588938885200278	0.64980709142537	0.614451788096317	0.664675432616774	0.697707481502367	0.584694295134891	0.583560726955508	0.670212474460351	0.610014952103948	0.606128459729661	0.646520667604695	0.671093788336002	0.568659392393281	0.590821001572615
TCGA-GV-A3QF-01	0.473698232150636	0.46628275291783	0.546904005682905	0.462925681722642	0.535611122612552	0.500886610208811	0.58280467381097	0.630488892999074	0.484001271103842	0.532329664628724	0.548009802449223	0.494588642751527	0.444510679109853	0.637081042363617	0.511806784447132	0.635671223655692	0.705001873126831	0.536823064221025	0.506147358278668	0.663140419831526	0.533235647193658	0.502682715599791	0.522687973623596	0.60765658226794	0.443915104724759	0.545618979178915
TCGA-GV-A3QG-01	0.546104416478605	0.539953913827299	0.630132196326281	0.544012461905459	0.618957908738246	0.557815186384405	0.626316637315729	0.695679220566082	0.584782305308886	0.632731995807452	0.590800878793256	0.590223475686515	0.539994127959611	0.677240958077143	0.599746409205857	0.696210208626982	0.746887761379765	0.58110599049102	0.581474078725717	0.714908721257918	0.600969948562757	0.582503565631993	0.613233254829356	0.686757946734555	0.530407437709568	0.579537519799954
TCGA-GV-A3QH-01	0.550880265852902	0.550144698287079	0.634572929571148	0.580722032534606	0.633473054571497	0.575831902301328	0.640725954771717	0.689563280842399	0.535942850644837	0.582489179522313	0.555874914948053	0.58172882389057	0.57166767384605	0.703335604717356	0.629750473489664	0.686817354057879	0.74778106399721	0.601993759214782	0.558472663828959	0.699387950252846	0.589222263460571	0.57600244587811	0.612603116479529	0.667345611265563	0.543918189501936	0.590576667192183
TCGA-GV-A3QI-01	0.572069228931063	0.572301318879136	0.648722740961469	0.580808975572331	0.60512944740875	0.615763733368178	0.605311198152617	0.647813426542391	0.559973383891068	0.538956464712083	0.511379434348819	0.614017108077436	0.573590812848886	0.628087558316923	0.621470274686552	0.642169159332764	0.694306976763811	0.593029174301938	0.591269012803046	0.633486352722936	0.59931423401057	0.565581672065939	0.589918769432417	0.62967238204983	0.546396188471855	0.557186436560945
TCGA-GV-A3QK-01	0.511918834646547	0.511926282409112	0.59890793053302	0.499308981810948	0.568309778304645	0.55527777398132	0.652321878535267	0.704016826192634	0.545207483022834	0.56297107572147	0.569273499707539	0.534975730145737	0.475293440737396	0.707120534610897	0.54838630084876	0.711301242851485	0.767333496771426	0.594423735085907	0.545150751252098	0.718976257635391	0.575479994889265	0.539057603457877	0.567479860061735	0.681117621404374	0.480253026038647	0.581801405696759
TCGA-GV-A40E-01	0.559667520025521	0.562665431580556	0.728032944377362	0.601675486879927	0.725892705933538	0.662446938854457	0.7503990755738	0.773170236035163	0.567864240339643	0.697046993076578	0.686457703384744	0.62519934509238	0.582441642490899	0.735167499941196	0.682025486135318	0.768972549348197	0.7203207125585	0.735235365999837	0.604554367225765	0.754055428812433	0.65818501087527	0.644464862488723	0.686182990804517	0.740109503882299	0.561228551494825	0.672330776313387
TCGA-GV-A40G-01	0.557128822817448	0.551025034786887	0.624317159180861	0.532342918945453	0.620992271650766	0.576937212556943	0.650841720195874	0.692775758453228	0.526921018509702	0.583081861489062	0.583792507031534	0.576387645787468	0.524906633354979	0.711661988469906	0.58031035872952	0.704978681146366	0.727904431865743	0.596039460310238	0.573440573588175	0.698731534543649	0.596316735759413	0.564882086679994	0.589165629873518	0.679958907782698	0.510330781467089	0.586423793473326
TCGA-GV-A6ZA-01	0.537081289684321	0.535499729721467	0.630436791212797	0.558541094716897	0.620603383146873	0.592498383174475	0.666346649167396	0.708957578814964	0.556445047655042	0.589771956100104	0.578339894039578	0.588467596709791	0.539247670198276	0.705236649206786	0.603612602062796	0.723668517424186	0.782061263379182	0.629232367153106	0.565724510717952	0.740128308555061	0.613249800143987	0.581415489077096	0.609328787462123	0.691220880498878	0.518402844743828	0.622111970850789
