TCGA_barcode	22RV1	DU145	LNCAPCLONEFGC	MDAPCA2B	NCIH660	PC3	VCAP
TCGA-H9-A6BX-01	0.541118936845943	0.619730293023478	0.567022770871737	0.572043570379338	0.547029560608886	0.582666829778186	0.598493756581196
TCGA-H9-A6BY-01	0.600436289615638	0.618083543741056	0.661605073725246	0.654136837991624	0.568677596428906	0.590331020508428	0.707683694473918
TCGA-HC-7075-01	0.577206046274495	0.579168281020569	0.627705103969307	0.642330569592183	0.526870202864782	0.573012979341851	0.638621048635051
TCGA-HC-7077-01	0.619001211404532	0.621563378584804	0.681605551817525	0.70591086826663	0.580618680076459	0.603216927135195	0.725258248207157
TCGA-HC-7078-01	0.623577398432686	0.622996029963398	0.660067289064557	0.665300230113178	0.560957493020163	0.601366664692322	0.689648424897262
TCGA-HC-7079-01	0.545562846220261	0.623854657771628	0.587357213417495	0.599519600953584	0.546572556322958	0.592004009096961	0.606852870993279
TCGA-HC-7080-01	0.623558385818388	0.604558516254596	0.676461920706315	0.669906818721075	0.567774403748368	0.594578633973074	0.68851190048358
TCGA-HC-7081-01	0.588048372487455	0.615846054250722	0.624199065069279	0.63020177531853	0.561377011387057	0.58447604953382	0.694281535579637
TCGA-HC-7209-01	0.606970771111848	0.643339294608919	0.64976905655146	0.663194908324506	0.578413154886033	0.60558899607069	0.709594708250108
TCGA-HC-7210-01	0.58649996573924	0.606533013228685	0.628691339190811	0.641392787558913	0.564102760622823	0.585350934337722	0.668961467795843
TCGA-HC-7211-01	0.581035176223896	0.616144010471315	0.622879897744659	0.649223212435874	0.544512020955419	0.592437834337447	0.658731616301748
TCGA-HC-7212-01	0.599147603798342	0.617589300517352	0.628743000302355	0.64558497029509	0.577558995059473	0.580671085442419	0.710434863335275
TCGA-HC-7213-01	0.583813593318083	0.627422941738903	0.639622809476371	0.657444825353013	0.577469065165812	0.613755619838447	0.690006981732852
TCGA-HC-7230-01	0.600916517425965	0.636872751179006	0.648614340491347	0.65517507864475	0.573608296731284	0.603148104597856	0.699196182248684
TCGA-HC-7231-01	0.577934570822957	0.609028238250707	0.630370501732115	0.62892235091827	0.561362479853634	0.579991220070097	0.677979383569618
TCGA-HC-7232-01	0.590575966588808	0.606780903566425	0.626047819286828	0.643151321714607	0.571478637202241	0.572823290205645	0.696381107882392
TCGA-HC-7233-01	0.59669287248671	0.619414264529594	0.640796040458365	0.655157921881726	0.558636173785492	0.596756327553544	0.674311518658895
TCGA-HC-7736-01	0.60175268567805	0.631744328979311	0.642284881503184	0.662278666749016	0.57067778078287	0.609062278831499	0.667399518782578
TCGA-HC-7737-01	0.597622732697669	0.623780186982257	0.65154212875483	0.662689613157768	0.565764979617775	0.605000207252584	0.677776795511716
TCGA-HC-7738-01	0.628299344336742	0.613264893591595	0.675794968300233	0.688412398862166	0.584236302248119	0.597275380057014	0.69431024571201
TCGA-HC-7740-01	0.608944600227733	0.633748002232127	0.652473995750777	0.671346306069567	0.580987570550166	0.607684560240961	0.699819151721722
TCGA-HC-7742-01	0.605908229941894	0.622731971947474	0.649663500348908	0.663740126277692	0.581935226389574	0.601527828836284	0.682701926780484
TCGA-HC-7744-01	0.60223049553125	0.636579720729951	0.651153090411282	0.673443097692071	0.579393038029608	0.610769108895353	0.709147044973242
TCGA-HC-7745-01	0.62726881499727	0.632672965628657	0.665591929458699	0.675980254211868	0.579621778602306	0.608777899661287	0.706959617839259
TCGA-HC-7747-01	0.595019325778783	0.619293812417104	0.643117193953543	0.660191341999766	0.569163596441131	0.593618947296061	0.706233487369091
TCGA-HC-7748-01	0.604628692626944	0.626739672465277	0.642676095477421	0.662683170171704	0.575279582012092	0.594414013097237	0.701179010669754
TCGA-HC-7749-01	0.607666827961427	0.614588987089491	0.658935444763039	0.667991581566732	0.574410851121958	0.599587472148585	0.696932651287007
TCGA-HC-7750-01	0.60053417707246	0.617015224374255	0.652620318666053	0.657011642856114	0.567305347761565	0.59341510363547	0.67224709225605
TCGA-HC-7752-01	0.572608209581334	0.570459267832072	0.634715167054408	0.639677535850247	0.524405532843537	0.558891582283018	0.623461072256457
TCGA-HC-7817-01	0.564726352478546	0.631794448637383	0.605886292711413	0.628226410451267	0.546020312182533	0.605774515481359	0.6338499203986
