TCGA_barcode	HEP3B217	HEPG2	HLF	HUH1	HUH6	HUH7	JHH1	JHH2	JHH4	JHH5	JHH6	JHH7	LI7	NCIH684	PLCPRF5	SKHEP1	SNU182	SNU387	SNU398	SNU423	SNU449	SNU475	SNU761	SNU878	SNU886
TCGA-BC-A10T-01	0.551630643859306	0.559806431767001	0.425050180231564	0.583957847293096	0.494212416110322	0.586908902092528	0.417876775543798	0.48270912907609	0.471366617928478	0.570484766294052	0.459881741738266	0.553264560223568	0.513535169240409	0.46815198256651	0.496060095006177	0.423159311320461	0.404156409720718	0.472104293182162	0.379358896275715	0.444565400768223	0.464163281205414	0.480674642021262	0.540578804954893	0.550090277356688	0.512486999678387
TCGA-BC-A10U-01	0.581489348514973	0.59271245370854	0.436329378591708	0.636851043872294	0.513159644601311	0.592658510081302	0.417570588599354	0.510107503292663	0.494607038732488	0.611169685974637	0.491585576025994	0.569571947941143	0.537287592389066	0.499018287843091	0.516162589360904	0.434644022359198	0.388645455550618	0.484778379895633	0.377889891210835	0.469744697844394	0.476785087483773	0.477615987965772	0.579675529152371	0.608104118717862	0.549156331221711
TCGA-BC-A10W-01	0.625423016837737	0.637697679433802	0.452665450500193	0.671838996278594	0.571738059910393	0.660155583849086	0.509340452950659	0.528767286984099	0.500176212868116	0.676716464330648	0.529426595335499	0.625091723571541	0.623051332065817	0.576424881569196	0.559581212638075	0.501378874989561	0.457931633607259	0.549591973447831	0.430220232147564	0.500622970421482	0.540512946250777	0.524714984659244	0.639294921187566	0.635019856716177	0.60610059463524
TCGA-BC-A10X-01	0.58095312925095	0.588333600533844	0.368900286737582	0.556862245960395	0.488558238576838	0.599924639510702	0.414602555451849	0.430051962060218	0.427386590420481	0.56794212246085	0.433959943938287	0.54464813192933	0.507567913682032	0.467327806602665	0.468943223826251	0.401713619374794	0.376134847784987	0.453563817999217	0.347514061379893	0.407787388684392	0.448641303849457	0.425031000370335	0.552526958598535	0.543434695118645	0.497339028631934
TCGA-BC-A10Y-01	0.539547028451905	0.559443268729024	0.422015527344098	0.583401334269784	0.476751889209143	0.563596862483635	0.405450262901716	0.461955780251662	0.452707158518278	0.560088564293577	0.43560074148592	0.541438401765094	0.467924144026796	0.468860037884716	0.496310039766146	0.391422254536472	0.354450566684619	0.447280984369944	0.367013553763607	0.412325671416017	0.436767681930322	0.43652385733109	0.5177609720531	0.508170071209147	0.474044616669372
TCGA-BC-A10Z-01	0.552651578219305	0.552840525418678	0.415154268117278	0.574193889880276	0.465378584244326	0.56121992810679	0.390599419614352	0.43050698157986	0.444258669183663	0.55602318628413	0.422303579957732	0.546810092636743	0.47361965536099	0.447122891129688	0.492543322205167	0.375137007827508	0.329823661359804	0.43771292242663	0.33910629833721	0.399659861773182	0.417075237936471	0.422411529405484	0.505702076346823	0.512420638577887	0.471142426687563
TCGA-BC-A110-01	0.539847064694942	0.543878669436101	0.356184309777009	0.531011829468232	0.456217133928765	0.557293192149237	0.394358881262225	0.43263063175906	0.415594911017978	0.523982503158798	0.419250037701209	0.50570252610934	0.481248140642603	0.447757561483154	0.453307363224995	0.381090249170534	0.357881235380333	0.430663440574652	0.308276611401528	0.387922677734945	0.417973739284088	0.412293870777445	0.531996372307081	0.519813981062849	0.466841748617174
TCGA-BC-A112-01	0.635051364549961	0.618144774328825	0.45849018787427	0.664737611035535	0.572353629540368	0.63940152365069	0.527525461292965	0.554134150733599	0.539753063958786	0.683349108801628	0.5444228911508	0.627337091464831	0.629922299434988	0.601331036808929	0.564513472902952	0.503252306568954	0.478390061939099	0.54736152493223	0.432216286761334	0.504891174910248	0.546019985682266	0.531900344508453	0.661199533780987	0.671550044260427	0.616813372341307
TCGA-BC-A216-01	0.603677013701761	0.603068802087305	0.41587529402545	0.617623170759477	0.540209512301639	0.621301719782839	0.467971090033478	0.486482837708184	0.475557763198886	0.649602981658949	0.488495555219924	0.623876899629418	0.571226293572672	0.593303226607025	0.53088887718789	0.43666848151694	0.407088351769197	0.49053645287608	0.402228926005296	0.444216689830273	0.472925410167223	0.473819425989638	0.590140358833812	0.581470837677168	0.540258641471526
TCGA-BC-A217-01	0.545913634024363	0.55811815269563	0.445151109794287	0.607555432510449	0.474340313405547	0.563740585587705	0.425088291510341	0.490805245268214	0.48220207512597	0.560411342567753	0.460984323638711	0.539407954800351	0.492085801805818	0.476215016468321	0.534857553126982	0.429121054369949	0.362655416583169	0.460172091524834	0.38093393504642	0.430070458289855	0.453293705852782	0.453991253769998	0.551705946696157	0.542247946260991	0.48887646660039
