TCGA_barcode	AN3CA	COLO684	EFE184	EN	ESS1	HEC108	HEC151	HEC1A	HEC1B	HEC251	HEC265	HEC50B	HEC59	HEC6	JHUEM1	JHUEM2	JHUEM3	JHUEM7	KLE	MFE280	MFE296	MFE319	RL952	SNGM	SNU1077	SNU685	TEN
TCGA-A5-A0RA-01	0.43994834358599	0.372229862003191	0.523990349244001	0.453219531820904	0.493608479829	0.428568280489136	0.483894996405161	0.504571073426065	0.502210006463764	0.579906699334842	0.476445215086348	0.460901533542744	0.55453664359822	0.422713267237398	0.579301410490563	0.458323548842873	0.555397531472191	0.558001913694547	0.49071624053565	0.507404004048221	0.478980607353039	0.507610346829465	0.504133603394667	0.490834069183507	0.514658369880691	0.443155390795254	0.535564593833035
TCGA-A5-A0VP-01	0.488580399123679	0.430461719366623	0.564076931411928	0.488581306808323	0.560795769178327	0.463546001029191	0.512140186421613	0.530223626665327	0.521823198043105	0.584725882294144	0.517648299100812	0.514221195188175	0.544986050554866	0.467738983196056	0.626565870290243	0.494996722922846	0.600329534057926	0.597840475761826	0.569503461256024	0.562887922937615	0.518525570521402	0.58226682552578	0.576751069565304	0.53131656063218	0.543709902293933	0.517837028845777	0.519226868026241
TCGA-A5-A0VQ-01	0.473341618514247	0.396083487676591	0.555972782190348	0.483821921971047	0.546998265602574	0.470692767896521	0.522528240810041	0.538775278759618	0.523742901740841	0.558465292813499	0.522186407226277	0.502567603265238	0.528336560610695	0.471554010178015	0.567944181547741	0.499280611066442	0.615075406438407	0.577259118385173	0.517558761265042	0.543677235536134	0.499203083882072	0.552819632369921	0.550513028355996	0.547061787142472	0.541146103348999	0.494457260772982	0.525087311319191
TCGA-A5-A1OF-01	0.523859390530654	0.46998828908763	0.588043860715932	0.541634889635634	0.563134399015941	0.506303418950852	0.551362637124023	0.566262361716641	0.575720425871831	0.640130619557553	0.533064167931355	0.531753349513794	0.61414154043504	0.508942456335829	0.634052107275448	0.537112185862204	0.617817880691689	0.608724352432679	0.550597366126823	0.585479626132232	0.55876504912054	0.588002612254805	0.549502070339527	0.567998626153288	0.584944384772483	0.506028572776018	0.59055414620571
TCGA-A5-A1OG-01	0.522525274723903	0.485732039219255	0.612280617707994	0.558530828737537	0.586630420844148	0.478589748095771	0.520564133595268	0.554341443523336	0.569094513473983	0.655065564801349	0.508216755830592	0.524210912310592	0.604800921931385	0.498963049412462	0.642009945049394	0.546631367594823	0.649718764324942	0.601507189263667	0.618146448072648	0.636890466562521	0.580584597903439	0.600140354684335	0.548915292052416	0.549471809000756	0.636601061549582	0.558419768404382	0.566685391688597
TCGA-A5-A1OJ-01	0.492813599276206	0.435250308364185	0.570894955407275	0.498267821673091	0.577717679056222	0.446248523054947	0.497409084848677	0.514942393514474	0.522289592713961	0.580515886246483	0.500560432292769	0.503067697076425	0.551397525885468	0.459331383522633	0.591111014004512	0.513679907095881	0.608534706405865	0.563055547129138	0.551058849449009	0.566665970383808	0.529528640763177	0.552630364475021	0.536300098009133	0.519588961682545	0.568845466518304	0.546616165945836	0.524180528001894
TCGA-A5-A1OK-01	0.481615985227075	0.476764215773368	0.539681691147124	0.509789405959909	0.554555392446967	0.433561684639508	0.475964245404196	0.500975416688194	0.5278992093631	0.577291000523135	0.473673395111896	0.48326516691301	0.543588247770113	0.462276114758605	0.582607406718632	0.518409338366105	0.587420005110128	0.550156870082034	0.54927943868416	0.604497348510267	0.554403492524831	0.552507928918311	0.514289149181119	0.495911958618337	0.531938757366384	0.544254846677023	0.497898044859769
TCGA-A5-A2K2-01	0.511875541456193	0.455555817327421	0.660309801355994	0.526096954451191	0.590757470161951	0.504612198816488	0.568135113441671	0.595711222685062	0.604293078586426	0.656148078397593	0.544716292452134	0.565484569220126	0.649110212436525	0.508129489906664	0.632221792017951	0.520037688377317	0.654843583836209	0.644498790649921	0.578907054965883	0.583435236989458	0.549000514600067	0.617393917721817	0.569158907055442	0.575862513017323	0.648400093921065	0.552959307000745	0.655828615220849
TCGA-A5-A2K3-01	0.539457962690179	0.490258176611605	0.606762550444478	0.567550777964322	0.570056529935348	0.495080869954226	0.558415342215293	0.56479855655364	0.57197662435055	0.626069174726889	0.522238482299606	0.555080054272399	0.616887591276668	0.510170742505311	0.634689301496619	0.556801393878497	0.620385940218262	0.619609809261092	0.572243735296832	0.587701028437777	0.585384648115361	0.616918062429753	0.571166161583641	0.571174450416618	0.611170210341051	0.532803519775501	0.57823053949659
TCGA-A5-A2K4-01	0.509557342629598	0.486805181615742	0.670421503358153	0.54875272562729	0.616613540459185	0.482625602612769	0.552625454221265	0.599279286382234	0.607511899552284	0.665048198209816	0.526969411422971	0.568481607270932	0.64674755523703	0.498630156958147	0.633507820467579	0.530977469963187	0.702230900472842	0.645536007708475	0.621512346558472	0.642149508546545	0.571291877574053	0.60923046108733	0.55659701090218	0.570436288838632	0.676144322550423	0.590286323095432	0.630810107641744
TCGA-A5-A2K5-01	0.477863600566917	0.402908998629086	0.498302915263913	0.465875193225701	0.506180292853808	0.453519905963039	0.501684105262183	0.492439222521672	0.514676066766988	0.574281808148325	0.484619777017646	0.483775297048298	0.529665374447663	0.452877221266393	0.552327566425393	0.492594300309783	0.534814799844476	0.537852868606763	0.510962035552992	0.523737209370465	0.492185862153977	0.529401398116157	0.487336693894867	0.515944397647172	0.487847728393487	0.467765013075949	0.492728714670189
TCGA-A5-A2K7-01	0.495111759664833	0.424805147234862	0.588533116332332	0.494875410425487	0.596818822875677	0.482029476730096	0.54629576720355	0.558139343598921	0.552624915180493	0.61455399364567	0.537505203308289	0.509563191356354	0.589019789185197	0.492422761218587	0.631403163370216	0.515923609987564	0.632991329686494	0.610260909243271	0.553725081130362	0.555023781953838	0.545675264694244	0.585317076831603	0.552768800401614	0.564274222679087	0.581381162240516	0.53045556000382	0.550229587611606
TCGA-A5-A3LO-01	0.4712094874839	0.420281202793878	0.566127850401773	0.47681967636328	0.584631681253251	0.440932543197108	0.5123423829442	0.517091161569889	0.508242051566089	0.583005904849439	0.530823656257302	0.490840068400692	0.542987091750751	0.465578078031155	0.607127422233555	0.499733230143724	0.613297278815963	0.573047823290292	0.557251981813676	0.565253040597727	0.532201883628191	0.559907910551937	0.574865657746456	0.50849737603344	0.553972962090939	0.538812159279163	0.521660472381911
TCGA-A5-A3LP-01	0.48745462218739	0.476540198387327	0.609078130843687	0.573337207986298	0.57681395038904	0.450057108715785	0.502323460839411	0.52528155267768	0.519032280036054	0.567601703851846	0.497293203164935	0.520673967241928	0.562152736376239	0.479472742889305	0.614767378484714	0.511741857481072	0.647551315935481	0.595452068573211	0.611253412074182	0.622906398230313	0.554053326297647	0.586272771251348	0.55541283213243	0.525426196074334	0.601978046225309	0.524022371066487	0.529116944467111
TCGA-A5-A7WK-01	0.485111752872083	0.476756316212483	0.601958606608242	0.532864509143898	0.573656510550375	0.456142794247621	0.508946636865345	0.542535947601964	0.551335013334169	0.610156172449613	0.503320927765701	0.528218642648183	0.585224537509233	0.483391164842775	0.608189310441664	0.515712813432532	0.648450819829993	0.598319233083251	0.596356685325955	0.629004116844614	0.563201850354165	0.588449264589243	0.53622008656806	0.533194709076171	0.596660923737741	0.552392673985209	0.541768575396813
TCGA-A5-AB3J-01	0.452979854587581	0.440952613989655	0.515725441522773	0.472094236393048	0.538542762489684	0.400207748765212	0.453795075469629	0.470629845235032	0.490888094623148	0.512210682743672	0.450128333141194	0.473876389370859	0.489496940398222	0.428390123750762	0.520343862120329	0.495261356816229	0.575872026012268	0.515994287202078	0.521549147943532	0.570529133184917	0.516973850035786	0.522754104611146	0.501808326462302	0.467255620144977	0.505460672347966	0.53762388401824	0.461127491065045
TCGA-AJ-A23M-01	0.501074976804708	0.509560414694027	0.594858655186454	0.564780145688883	0.582783409715869	0.430289490950167	0.484741621422772	0.515662669658615	0.53376142560784	0.600138886677202	0.471232394877424	0.508005770577476	0.567905231969479	0.466593386313028	0.596679352030895	0.528549965869733	0.656249135199958	0.562182044597633	0.649303225687088	0.665661321308879	0.574764201596509	0.573988974962325	0.531076248620614	0.507905099341534	0.613312842803706	0.573005030725193	0.519364453370013
