TCGA_barcode	ACCMESO1	DM3	ISTMES1	ISTMES2	JL1	MPP89	MSTO211H	NCIH2052	NCIH2452	NCIH28	RS5
TCGA-TS-A7OU-01	0.499367308589093	0.509596262753262	0.589497979442813	0.604015527696103	0.601148520168755	0.535366120038464	0.492115510465255	0.533673020604633	0.567956808807842	0.501406635928337	0.54412684253872
TCGA-TS-A7OY-01	0.573149974323325	0.590498171416055	0.657941243752831	0.663005014372315	0.668777632621657	0.623091477943892	0.5741265350849	0.625142059786197	0.641984732643943	0.56223250367376	0.627364321365483
TCGA-TS-A7OZ-01	0.527082515639207	0.55287097106325	0.63416712003807	0.632568329859968	0.640484342738169	0.596773713496507	0.547713506363944	0.586596989257917	0.580491101956751	0.553232058678794	0.569964812407341
TCGA-TS-A7P0-01	0.565178074227589	0.553649207483616	0.627956651621937	0.632837656126083	0.634366133026406	0.606562764770364	0.56767090721988	0.589715167459748	0.607628914099322	0.544831671194175	0.591205880242176
TCGA-TS-A7P1-01	0.61968429016927	0.607417829123752	0.696071838974838	0.720333815035496	0.725590731665227	0.661675858056639	0.595470269566243	0.64942767979639	0.695548445039504	0.583383385870008	0.646861188672804
TCGA-TS-A7P3-01	0.52840776336619	0.592065139014453	0.63689612027029	0.646806606848705	0.649122192258375	0.606162352853257	0.561622626012137	0.607138802696851	0.604035233610211	0.549459433767241	0.633367904490274
TCGA-TS-A7P6-01	0.578455314354491	0.579393793730922	0.652022004499525	0.656685303338085	0.665924884890378	0.632667886130756	0.565964805725561	0.620730924952561	0.632427928731775	0.519098659677193	0.618882242299041
TCGA-TS-A7P8-01	0.536660404612022	0.569831682311721	0.62265527646124	0.633720141902463	0.620599721709054	0.597446381143308	0.561777724900469	0.585731748672746	0.600899004090077	0.538354250804338	0.590943724942232
TCGA-TS-A7PB-01	0.525385870827342	0.516507989850487	0.607755370847329	0.628249756910994	0.623293268338557	0.555488678977589	0.519975882348318	0.556288840331611	0.59287157048038	0.507017137954703	0.546512856336642
TCGA-TS-A8AI-01	0.590623269969335	0.605522281529108	0.676671643430485	0.691707698524447	0.700162553515871	0.637185805827158	0.577672014645834	0.633960717007393	0.658622307850073	0.58439413529446	0.641909792131869
TCGA-TS-A8AS-01	0.502865194535224	0.532912960207172	0.604355307261792	0.615846843857383	0.617600234099429	0.551097974704032	0.515914667758592	0.550852408820344	0.588398858316088	0.51144286029432	0.565280340332715
TCGA-TS-A8AY-01	0.562937331107943	0.566222627640874	0.652034282804587	0.652630095231643	0.644486307047003	0.621003964480508	0.558814253246312	0.609070207194375	0.617661263459639	0.536159108867934	0.592605274118513
TCGA-UD-AABZ-01	0.588048927971843	0.551794434635982	0.671557949134188	0.675772824007781	0.692762728490327	0.620933603212532	0.572085749037283	0.605591729768518	0.647849212724233	0.568332944726468	0.592491722948197
TCGA-UD-AAC1-01	0.631686714955657	0.578310685666641	0.637054067364345	0.664175782264956	0.660444964702232	0.644921046294235	0.567102461931296	0.610764389242262	0.657867235104074	0.528443430825644	0.630688402917491
TCGA-UD-AAC4-01	0.576947072861049	0.579728834198034	0.676081725603681	0.69385726636511	0.690650783076526	0.632627885320626	0.585635322895237	0.620035750905849	0.664403563504054	0.573824749404342	0.621873711180748
TCGA-UD-AAC5-01	0.546612149618166	0.574189956013112	0.655082377971028	0.675242494604361	0.669144931192627	0.59923865848794	0.565365273249713	0.59614419354822	0.615390727830275	0.551775686403231	0.606619483233207
TCGA-UD-AAC6-01	0.553127050352152	0.540502963838331	0.637440812540639	0.655689868958758	0.645529628757831	0.581761354660474	0.543373798753019	0.570230209977979	0.621759940961751	0.543957339096927	0.575940300788278
TCGA-UD-AAC7-01	0.634192272553229	0.621630275868672	0.712546426664495	0.739330012478295	0.739389940729363	0.67772447105694	0.617935778311666	0.667827501212826	0.71323834897995	0.583325163810947	0.669292759397137
TCGA-UT-A88C-01	0.503596995266885	0.500442982747287	0.612078323276966	0.614222321413573	0.606564554116592	0.55450542536223	0.51184006128955	0.544667185627234	0.579086020139286	0.521342437345886	0.534430984525849
TCGA-UT-A88D-01	0.528950680326751	0.532802160401461	0.632504116611381	0.644049978221977	0.642766451788287	0.577943005404852	0.535599238192023	0.574722241673685	0.604339561785753	0.561263267061676	0.568548913040268
TCGA-UT-A88E-01	0.566001369294297	0.554992439743462	0.678459933788556	0.671411102032234	0.677155322283462	0.619689256870862	0.579667567120891	0.625360424922322	0.650136635326395	0.560426245545433	0.592036881038306
TCGA-UT-A88G-01	0.52541080556656	0.551377553339515	0.650666394090034	0.625408581679331	0.638775086447538	0.605395373306443	0.55278142044022	0.610449303566485	0.58486427533599	0.564139833946025	0.581005082148913
TCGA-UT-A97Y-01	0.591350077272114	0.600503523342808	0.677279086884866	0.680425153652833	0.690302195712625	0.63740730938485	0.580458482278118	0.643408449559938	0.651890579805623	0.578568619505421	0.652860547693924
TCGA-XT-AASU-01	0.584969302454357	0.619219428240413	0.698783265523118	0.695446896953017	0.7117569665576	0.65546782075012	0.606515237078044	0.654967248490626	0.645235243069988	0.580855735458904	0.653019705279661
TCGA-YS-A95B-01	0.586833369279121	0.604009446427256	0.665240187387128	0.676046562738833	0.665132596239677	0.643004512554194	0.57216805976569	0.644133550339825	0.639635206164821	0.5576430177434	0.640615467275289
TCGA-YS-A95C-01	0.513787575689446	0.54374559400404	0.618666754280411	0.620721014426961	0.615447061240988	0.567502291483708	0.528371071266498	0.569102153982477	0.58725169838007	0.526177866400354	0.572725573659419
TCGA-YS-AA4M-01	0.583088035923695	0.557302239979768	0.700668750647643	0.704319966126764	0.69501158372327	0.627896648662697	0.58803368608398	0.614507095612968	0.650938506200578	0.587207818971811	0.588207076307982
TCGA-ZN-A9VO-01	0.535460599891979	0.49726413774491	0.637363476153815	0.625298804211055	0.639121387587745	0.560971181365381	0.51848725721234	0.552844877355591	0.60132283243619	0.51997604873391	0.536628019265179
TCGA-ZN-A9VP-01	0.549380218520928	0.537407190203303	0.592774161649522	0.625901884625302	0.60730182039654	0.607268858677666	0.541215863686442	0.561347434565784	0.600953813865437	0.522537616176439	0.567812833972525
TCGA-ZN-A9VQ-01	0.548004927606358	0.589021439887065	0.657832418721393	0.667046862109511	0.68290377080778	0.607324218939691	0.575739831332249	0.612052381974056	0.622966396966808	0.559642762340694	0.626084633055285
TCGA-ZN-A9VS-01	0.540980526782737	0.527134774102412	0.612912867606956	0.636819504262692	0.616631269525731	0.574782393797521	0.533242433789843	0.563636274508107	0.599723537336774	0.525647072114467	0.566043102760307
TCGA-ZN-A9VU-01	0.539610004383847	0.539071597222683	0.642896220748656	0.66072358957611	0.639807531341571	0.585359125807641	0.543192860707101	0.572847090160882	0.61714016170039	0.540439734663923	0.572665956627864
TCGA-ZN-A9VV-01	0.46867069847297	0.517757489480098	0.589761495893767	0.574654903168142	0.595939215767712	0.541360207749891	0.499422272261487	0.525471825369269	0.541531730522239	0.497249569284566	0.55254869556689
TCGA-ZN-A9VW-01	0.620515236852365	0.60593167560505	0.735103651927183	0.725467468339954	0.747980875449284	0.678459195605942	0.65032119856491	0.675667555292292	0.703249179649683	0.612283231937346	0.648605724305459
