TCGA_barcode	GI1	H4	HS683	NMCG1	SNU738	SW1088	SW1783	TM31
TCGA-DH-5142-01	0.538745570075412	0.568847352654814	0.546813443824449	0.536273434382886	0.509604681193252	0.54398849149498	0.539895068341453	0.538936432225775
TCGA-DH-5143-01	0.452334186398535	0.493031611960318	0.452429793457853	0.468728390770014	0.446098276625249	0.455176858288672	0.451344969398585	0.464381018914829
TCGA-DH-5144-01	0.477613743478252	0.516320371680756	0.487849862042842	0.507347714695394	0.475435679937533	0.486753135007839	0.479063456815824	0.492341151726265
TCGA-DH-A669-01	0.539963834210928	0.589172811281837	0.546139757771563	0.555166384483523	0.52932107990101	0.561124567729735	0.549064028471634	0.563234484323997
TCGA-DH-A66B-01	0.543818630302639	0.571239697602034	0.535463061062175	0.531607421090417	0.529305858710047	0.540580162516103	0.535982133824284	0.545706634396703
TCGA-DH-A66D-01	0.504871777269605	0.539208299145706	0.505500300618255	0.51389495777357	0.498197505299593	0.502764776793441	0.500081300456505	0.518955545219447
TCGA-DH-A66F-01	0.479904238544959	0.520858794564413	0.481656164606993	0.492244479254379	0.468358155896149	0.489034570266988	0.484399504174499	0.485341669608997
TCGA-DH-A66G-01	0.487546581764945	0.526900347783135	0.486328257412738	0.50810630448331	0.480983464510525	0.48549408267864	0.481434979021254	0.502980695462454
TCGA-DH-A7UR-01	0.494223377620752	0.532681684008961	0.491921803132984	0.517102610720324	0.496630229473682	0.496932025260561	0.491693305277114	0.510672882568421
TCGA-DH-A7US-01	0.478377589277101	0.519970959246113	0.476457639664295	0.486022987925509	0.465466698487457	0.484191636175039	0.475703747023093	0.480608285986681
TCGA-DH-A7UT-01	0.495470382363947	0.525507264830968	0.499921781306824	0.502104601449907	0.487320721184333	0.50224005408514	0.500191175058771	0.501128494649463
TCGA-DH-A7UU-01	0.532877541978072	0.56623072679455	0.53522650269641	0.534687839444666	0.521426992784057	0.526321549921255	0.529551939952721	0.538914739842124
TCGA-DH-A7UV-01	0.485045215472153	0.525138068399375	0.479520989263295	0.482618160423154	0.477549381492871	0.482457682544752	0.479720282037612	0.487997085693993
TCGA-DU-5847-01	0.582549668605034	0.612112857036412	0.609406806218278	0.615264771629671	0.557780669496993	0.600668937685124	0.602952852840964	0.594648560315026
TCGA-DU-5849-01	0.465853185307299	0.500531553997306	0.466520594006194	0.48476703893918	0.456287168380933	0.469954525185047	0.464270826165032	0.472857892902024
TCGA-DU-5852-01	0.567874010096168	0.598484028034634	0.593810939836799	0.607158974949482	0.542040494870994	0.583391697672558	0.591065158640261	0.595335061265931
TCGA-DU-5853-01	0.496858046918108	0.528264229518745	0.500402295779165	0.503702182087849	0.477086537945371	0.500722138426602	0.49649186222841	0.496011619616478
TCGA-DU-5854-01	0.564217630689454	0.593998231166739	0.586327614631445	0.594824757902991	0.54103925273149	0.574711736637708	0.582181618151042	0.586632308876144
TCGA-DU-5855-01	0.510054767121725	0.551806210061754	0.517138638299041	0.530449336074555	0.500718074900091	0.515683176189762	0.511136476799581	0.528111709764368
TCGA-DU-5871-01	0.483091676164783	0.519634848337729	0.489134699670445	0.506384347506345	0.478979786038666	0.485019607990162	0.488478564926217	0.497051549017573
TCGA-DU-5872-01	0.514212860774286	0.551983029867034	0.525526391075104	0.532146308458924	0.504999423298568	0.528076671344624	0.524463679099718	0.527740815526907
TCGA-DU-5874-01	0.508103389637271	0.551134596392552	0.513387411409805	0.534347038986694	0.505453792392012	0.516986492676979	0.513875528970553	0.528667464051851
TCGA-DU-6392-01	0.538811352311213	0.557543522368578	0.542049462749651	0.562028971325251	0.525338213494753	0.552384955615873	0.549505116303297	0.557694169637446
TCGA-DU-6393-01	0.513296985147352	0.555699716296404	0.519745495954671	0.530862327506751	0.500124054209004	0.522215327128432	0.512776472652434	0.523170928879891
TCGA-DU-6394-01	0.51784618966348	0.560616783246284	0.528284728032991	0.539622198578981	0.498227001997906	0.531961716278086	0.525390780803466	0.535018271092975
TCGA-DU-6395-01	0.497065423015718	0.534630921776249	0.504927426558641	0.505499507308843	0.486308295599253	0.507370282369492	0.504317452323866	0.502653634389417
TCGA-DU-6396-01	0.53102226200656	0.567166032873749	0.535304286151665	0.535524091449824	0.509626212448006	0.531268878898808	0.524759998998842	0.540081682311325
TCGA-DU-6397-01	0.479538381493453	0.524079339724973	0.487371646994262	0.497580363851728	0.467087687996336	0.495848086654913	0.487895214321723	0.488456055923689
TCGA-DU-6399-01	0.520199494929105	0.554920402685265	0.524954652723777	0.528244681612322	0.501316537019597	0.520713194974	0.520239396514572	0.525198693598199
TCGA-DU-6400-01	0.463433723116231	0.51233153539759	0.468765804451253	0.494661053888912	0.463331506180518	0.475018893694825	0.465861782494643	0.486826295256695
