TCGA_barcode	COLO680N	ECGI10	KYSE140	KYSE150	KYSE180	KYSE270	KYSE30	KYSE410	KYSE450	KYSE510	KYSE520	KYSE70	OE19	OE21	OE33	TE1	TE10	TE11	TE14	TE15	TE4	TE5	TE6	TE8	TE9
TCGA-L5-A4OS-01	0.619497613450871	0.613107574529565	0.583075147297086	0.570404788450309	0.617739047205125	0.593612392609098	0.575700013920475	0.591121114932384	0.597911623300894	0.608877944068304	0.585430194271821	0.542542708076878	0.685322540779848	0.574768676991831	0.643116542643156	0.600035094236221	0.63293643592746	0.610980923548541	0.643607694149056	0.594915528107086	0.621846212838883	0.585899480393781	0.619426802089491	0.587567432920588	0.596312297980155
TCGA-L5-A4OT-01	0.639880490592785	0.638344313877262	0.59763966288136	0.607201945242243	0.61908578564833	0.61230221061577	0.619340473860857	0.648583700559076	0.621656510204838	0.661580488474455	0.61528901176715	0.577051954613962	0.721902107837959	0.611071450522156	0.722479178275491	0.637680075326661	0.634613655364492	0.646688648929207	0.66623083545282	0.63899205999595	0.665622380744555	0.643445904620932	0.642846584766745	0.622490019851649	0.626265925317591
TCGA-L5-A4OU-01	0.677382220638607	0.684973441273241	0.617829122810734	0.664643325273701	0.644601000732658	0.602366119202118	0.668544663952897	0.682252384331517	0.637407062531474	0.717556585943261	0.6476347208258	0.596721228966525	0.744908628521008	0.667091183954013	0.787250465022892	0.64947466386103	0.665285647873484	0.696810831502882	0.696056068680272	0.698285861562755	0.677566217499711	0.691783244347236	0.644761430686949	0.624376928952136	0.691606061594928
TCGA-L5-A4OW-01	0.619173889395542	0.621603407331089	0.563863521385901	0.60420155593291	0.589540737226776	0.540793005782708	0.604764093465466	0.617177725030475	0.566375359070634	0.650822893438295	0.605109660278048	0.536271073131937	0.74293017424082	0.603008138437843	0.732424481174251	0.59601843770946	0.615428216831747	0.641419067670736	0.655434609868637	0.647874484626604	0.632220805857229	0.615349052060596	0.588484228808069	0.561894099452045	0.643183238700521
TCGA-L5-A4OX-01	0.618936436415076	0.607255398004302	0.558017584863653	0.607457002963097	0.578434060399133	0.555581124811014	0.61393066744397	0.604462960898731	0.568740914673663	0.645135526263375	0.580885212635612	0.54366715340259	0.745814372546441	0.578953896340994	0.736100712126914	0.608714250735793	0.597271709516042	0.618655531455045	0.627919111763697	0.620571386048753	0.618359405061116	0.624095110645923	0.588092951662907	0.567531262340678	0.612582290321789
TCGA-L5-A88S-01	0.675697670634448	0.698316195117962	0.689366100430596	0.626304742376507	0.706599852676417	0.679989130382305	0.624615612393982	0.642030955418457	0.673743586435403	0.689084253139588	0.730903506209484	0.634975942378326	0.568030946350581	0.768097199637397	0.635466534266251	0.650152376096474	0.698878724321317	0.742091474785284	0.740013953363883	0.694159810965672	0.655597930057377	0.642646535198888	0.676382546141146	0.704093975682696	0.735937092130045
TCGA-L5-A88V-01	0.648561592741763	0.636826754549692	0.577616249163595	0.60395215552246	0.598100238181775	0.554209350238448	0.614649737070046	0.598357796361839	0.572546191117769	0.667054052199117	0.623131417090565	0.54651934281951	0.716151170109296	0.653481702714689	0.704919435768795	0.615072119008896	0.629313682059218	0.670319552311969	0.669054184006067	0.661310373776082	0.653354996990871	0.628521597492672	0.598033959444372	0.59127194625814	0.677248298306715
TCGA-L5-A88W-01	0.619706144695942	0.678862785615887	0.642823376324025	0.62172376101877	0.665703377333826	0.591030673693162	0.595234955057545	0.60436035183585	0.617701811483348	0.657393231728111	0.671638444902538	0.591435850825672	0.525315366638796	0.749352928957407	0.611455828340704	0.594295320699013	0.653505328175807	0.739062641145281	0.684079387709025	0.670313343868482	0.601640489876558	0.605018753392016	0.615021886357866	0.620481688583103	0.70606247446293
TCGA-L5-A88Z-01	0.657550204514772	0.687037877295225	0.681730113697155	0.606898126018194	0.68689993830686	0.620049632344592	0.614949281778402	0.610921730344852	0.665575202527574	0.680832850231812	0.717860163412347	0.656050058111829	0.537585172102429	0.773989103152219	0.606862394638284	0.6226523636708	0.654090531336374	0.746843842103411	0.742937840130051	0.677495336852426	0.619734750590646	0.652769801181732	0.672699506821178	0.658383251471252	0.752995920815163
TCGA-L5-A891-01	0.621035212371825	0.607080036468213	0.574684499965936	0.573640493761066	0.58801913192906	0.578379370982042	0.576528146468355	0.582785779957433	0.586824461004984	0.619348145816656	0.582794263884682	0.538110695181327	0.664669920283358	0.593948187039577	0.670923552607001	0.590690710445652	0.616366872837471	0.628119660785547	0.627326586164894	0.61717249415108	0.619680537712629	0.573700671209203	0.593008659123949	0.582664398352991	0.591212442931517
TCGA-L5-A893-01	0.613278923401969	0.615669703748409	0.580763369852834	0.60015627114836	0.595261171314446	0.531653517815226	0.606570810485618	0.59535551768529	0.569458364089836	0.646842175919636	0.61530031183492	0.554973067479268	0.706872932499723	0.638781946465086	0.678396263326618	0.587186313933016	0.605040834259665	0.663688303598928	0.664492407657222	0.653219609458481	0.61095455047293	0.615196100995478	0.590685050852984	0.56173423283936	0.674262468290525
