TCGA_barcode	A253	BHY	BICR16	BICR18	BICR22	BICR31	BICR56	BICR6	CAL27	CAL33	FADU	HS840T	HSC2	HSC3	HSC4	PECAPJ15	PECAPJ49	SCC15	SCC25	SCC4	SCC9	SNU1041	SNU1066	SNU1076	SNU1214	SNU899	YD10B	YD15	YD38	YD8
TCGA-BA-7269-01	0.670357699254009	0.59328728655626	0.70532158943769	0.636232306709861	0.634975655699499	0.718177207886044	0.640294274977513	0.675884260664058	0.648888162726554	0.631418999135783	0.610956859932128	0.499060183088363	0.628211955842928	0.566894971069905	0.638528658813243	0.650526891849837	0.677863526581909	0.688443047508957	0.678307886220559	0.665271531488835	0.607462660497297	0.671439829125162	0.602257488237418	0.605914829293353	0.652326295940786	0.642708751344017	0.596478945462881	0.571682243295621	0.572501475027987	0.5579351907849
TCGA-BA-A4IF-01	0.680510471058722	0.604614246223455	0.680492344476575	0.660163169043731	0.642317699119872	0.681785297085568	0.63081630120199	0.701751412214008	0.664651455952295	0.629621285917398	0.624190885197591	0.477364052289217	0.629351086719767	0.575212065345625	0.639714785755277	0.637188767978972	0.629780402020032	0.644813593950189	0.646680731856515	0.673971294589489	0.624206378776638	0.65861471122853	0.617057079676242	0.601308792788768	0.683375564359488	0.65413759794485	0.604227396831421	0.575903846475073	0.576128539662423	0.536665111489132
TCGA-BA-A4IG-01	0.663706224691343	0.62340117988626	0.689642165469791	0.617906759625376	0.678435481507088	0.676356504593203	0.664758250990125	0.6987457129691	0.684569283698704	0.672259663863663	0.633503458656727	0.500408741772547	0.644278245184754	0.606906859098098	0.648505877575263	0.664496886163121	0.651090258047806	0.688888104381954	0.653276634102782	0.669315950945776	0.650291803004233	0.677329912309335	0.636644355452816	0.638686692996473	0.678432905794598	0.668371195996772	0.610649680873983	0.586282462516795	0.607137078364576	0.556352996530077
TCGA-BA-A4IH-01	0.638208826311886	0.576215337539841	0.674293289387494	0.6750654213677	0.595292668428363	0.690278964852144	0.623906357899281	0.641084058194094	0.661418230316708	0.614573514984588	0.617729347640906	0.522806231632875	0.614095749778098	0.572991166726613	0.625046651365695	0.642184882978749	0.66827547967431	0.665100913795085	0.635124610096295	0.631485575863793	0.573020212655451	0.64348498991172	0.642244546453072	0.604519964660081	0.611138821068637	0.616271811246057	0.562988303974772	0.573582223165811	0.585770383674204	0.557636542974674
TCGA-BA-A4II-01	0.686015638717768	0.626319703270579	0.711607335794693	0.621427472793114	0.684996039007693	0.699921327009192	0.69054926820334	0.696683222399711	0.675274408231026	0.653347843814464	0.628301238884901	0.485918932323115	0.628611877392779	0.607053274222296	0.642372561810749	0.667039160520143	0.668933595488007	0.704327242822418	0.689468937206423	0.672156899489839	0.674102022349933	0.666596487197391	0.604902627372123	0.609379426757013	0.714516827037755	0.648816359552773	0.624936590480791	0.570046807687342	0.594604484378597	0.556267996292192
TCGA-BA-A6D8-01	0.672932860279747	0.575479761528871	0.680232267168091	0.650648416781555	0.623519497486262	0.672246042195561	0.60043235243503	0.645640419090159	0.616821437786409	0.619212396152671	0.609841615129549	0.515129078655748	0.603191213341155	0.563196562299239	0.63500202954985	0.653228360852525	0.648199946960929	0.653719631585344	0.64092454356922	0.639403031065918	0.544060539218682	0.658031830387152	0.569337821586454	0.591063996323598	0.619132327740845	0.62405311874582	0.581664251276412	0.545086000161816	0.552710830556886	0.580152865986624
TCGA-BA-A6DA-01	0.653515998128857	0.60272931530689	0.680280708779448	0.542658610708899	0.691462668884965	0.642788572173979	0.668390884535878	0.67849583210143	0.635426366739169	0.63695653442122	0.568194454866307	0.417627739804636	0.588618630565033	0.571323964345356	0.60197127338894	0.634142432600358	0.618540508419953	0.680051160811254	0.659351039641057	0.644592043153446	0.642066328424997	0.63262739408947	0.558568223413036	0.574009995610492	0.691773580052585	0.623172739145762	0.611532342380782	0.522033791134795	0.560263346292285	0.521508493217332
TCGA-BA-A6DB-01	0.660827329918431	0.614677707555606	0.701864931575255	0.609684377133727	0.6804892235104	0.694043259775322	0.68254267401405	0.695038006436578	0.673651667035982	0.655376341527063	0.610618217735234	0.485343733312272	0.635613759230031	0.59230005922379	0.660734370740996	0.652016027153484	0.652680477288325	0.697768100342503	0.663503297980964	0.669547640786164	0.65964456261167	0.670162110336724	0.620459650874277	0.625712272584164	0.707510321043444	0.651685165347687	0.626410245237452	0.576162823661137	0.585305188162631	0.565189537715823
TCGA-BA-A6DD-01	0.700059387204651	0.657718994268145	0.724260469240513	0.63032557916263	0.731739145151906	0.732771677904981	0.714298205772067	0.738920546315696	0.72079267074564	0.712190607866534	0.64657910801705	0.494649699783883	0.667927987408647	0.62877348301243	0.678820107701853	0.707254084024508	0.703430884361056	0.747166846255814	0.713843368687402	0.707597108668371	0.656005021512934	0.706618184473494	0.653222208159406	0.665098385241723	0.715140382689906	0.698836978412144	0.649035597018898	0.60974646542382	0.617022647003236	0.586110517155052
TCGA-BA-A6DE-01	0.664263723128424	0.635727552074678	0.683698314789385	0.582783191447788	0.677450081591648	0.695128387509121	0.657243596923083	0.72180631697586	0.658123241646809	0.627355600875918	0.592258461068047	0.466962084815924	0.611188469916391	0.584224646600806	0.618294792928701	0.643495489682984	0.643051312579817	0.672970074200696	0.684106303307471	0.696676366493619	0.668865709087512	0.635366173022809	0.589600926323528	0.603290915907754	0.699024593440429	0.667851708113968	0.605051417488046	0.565927985677649	0.601459573615508	0.542796611629655
