TCGA_barcode	8305C	8505C	BCPAP	BHT101	CAL62	FTC133	FTC238	ML1	SW579	TT	TT2609C02
TCGA-EL-A3D4-01	0.529589719557424	0.514678642787601	0.53752228947052	0.490670197512549	0.484997844965292	0.541926506521357	0.503708012431828	0.626011567163127	0.531622734025475	0.446696526309057	0.522861014266052
TCGA-EL-A3D5-01	0.509231229493654	0.499309604088593	0.503006522295364	0.471110155835896	0.477803269579363	0.514443620069757	0.495380925351868	0.608604729640309	0.515622288162225	0.450515220325249	0.501022645455282
TCGA-EL-A3D6-01	0.597134484325959	0.589439949279384	0.612649680080009	0.57641120233042	0.537293677289383	0.599145233788294	0.572215601575195	0.662842744916629	0.571591236393371	0.464988537749417	0.579660546406613
TCGA-EL-A3GO-01	0.534654538171784	0.526134218762613	0.526471858245264	0.497742495974684	0.499490133327024	0.526661413041383	0.522863533806402	0.620666431562313	0.544180875096412	0.453262142973457	0.515520577641699
TCGA-EL-A3GP-01	0.577899674179297	0.555420678843197	0.579229354470093	0.538051897348849	0.514718102826536	0.580609573186525	0.5549801502273	0.647438970136875	0.582779529874881	0.459230866518821	0.57338304885406
TCGA-EL-A3GQ-01	0.593003819878177	0.582501303185984	0.598746755822006	0.556861706013383	0.528964905718191	0.581577745120994	0.570740668842952	0.673015230217036	0.586318004496353	0.486312002629129	0.564164423750947
TCGA-EL-A3GR-01	0.594620476999485	0.587205514388429	0.598353700881482	0.558722066928636	0.533497171074349	0.582610125638978	0.56710127060138	0.679949382865448	0.579432201688277	0.476901950892201	0.573849304769926
TCGA-EL-A3GS-01	0.597047696082505	0.59068040832302	0.597713648768049	0.573358122730255	0.544688031551863	0.602273816793318	0.575806778602893	0.680212542026355	0.573775607455455	0.480176984158228	0.583996588951683
TCGA-EL-A3GU-01	0.62145386086182	0.603048475199666	0.61699851320209	0.578262774845364	0.550162103711128	0.621902708139013	0.587593877950682	0.691932453192921	0.617044141013254	0.487087338962486	0.600897905675858
TCGA-EL-A3GV-01	0.589974196776751	0.576943270427642	0.595848160851438	0.562958673623316	0.522205190129205	0.590888290209424	0.562443159956922	0.663857070069994	0.569379248348096	0.469874761874086	0.574996168510755
TCGA-EL-A3GW-01	0.559267436807482	0.545465305690923	0.56306958273925	0.522354165070421	0.510913130844081	0.566824776019102	0.538420428162951	0.655488172894896	0.550207045027484	0.49031738347166	0.552063607368484
TCGA-EL-A3GY-01	0.594851409605896	0.584472959893948	0.599467829132532	0.567510966576336	0.535817132311951	0.595639256894325	0.566388593286988	0.666619091144725	0.564474765770444	0.473469458513881	0.572561683750898
TCGA-EL-A3H1-01	0.523198527991564	0.515209892451593	0.532468380390791	0.493227402220373	0.505538770427433	0.527134140486835	0.516428454217882	0.628380868648796	0.53398425708548	0.460245098613027	0.514226124815035
TCGA-EL-A3H2-01	0.503362961607106	0.496012075773825	0.516315805554995	0.484567201799979	0.492601817201899	0.50569580188385	0.494613161837837	0.615018702681524	0.509216817651201	0.443551963155918	0.503580753186594
TCGA-EL-A3H3-01	0.560961666184793	0.554544041205988	0.569599691157813	0.540890700133133	0.499122018231566	0.56494339747893	0.536960929238836	0.620687463124489	0.540543827082773	0.447541479037102	0.549287611359175
TCGA-EL-A3H4-01	0.591838798240941	0.587876955793734	0.594932478477483	0.558203823947824	0.523228525575942	0.593633454134418	0.568184974781392	0.66448633119168	0.570953381725162	0.474778652342877	0.570472420216565
TCGA-EL-A3H5-01	0.608421835961043	0.589386522581428	0.610077339132968	0.569755580474349	0.542083385710933	0.604925957831356	0.580451244715127	0.674702861920703	0.613871283461374	0.482832144525398	0.588154882774763
TCGA-EL-A3H7-01	0.620103893325671	0.610563392031805	0.624965175869919	0.585627751735643	0.562746326534139	0.620706102547117	0.592726423834894	0.694304036712214	0.612517424239223	0.487911165492864	0.601552128114595
TCGA-EL-A3H8-01	0.59687844958377	0.587954734162938	0.606823398471971	0.566991643713028	0.545556259175489	0.591132539026524	0.56934381836202	0.673883891702748	0.576569041152948	0.487574426487531	0.57069377889564
TCGA-EL-A3MW-01	0.550104275799294	0.541313793649714	0.566055903221817	0.530981512009505	0.523716541718629	0.547090300820927	0.529867769494047	0.641683998110474	0.540934451313843	0.456306196920125	0.538594305082023
TCGA-EL-A3MX-01	0.554262162902788	0.554037650952896	0.589032728135631	0.552805836543006	0.544889534148438	0.564888059026014	0.550424010913981	0.680284957177319	0.548133168485833	0.495421898817144	0.560127647978909
TCGA-EL-A3MY-01	0.636707216022202	0.619554850527884	0.636217278731075	0.592274940331189	0.568791380049331	0.627401670118334	0.604744756495175	0.695247259752939	0.625725431446987	0.490715072718421	0.627037791758372
TCGA-EL-A3MZ-01	0.592403332217123	0.589657604435354	0.607593706408993	0.566801245446874	0.548508058131718	0.600180018905484	0.576054005788256	0.67105693848481	0.583414501969476	0.466582837955342	0.594095874936857
TCGA-EL-A3N2-01	0.589579322386977	0.585493325735949	0.613559878808067	0.57554985462771	0.556036915648284	0.590067464597988	0.568936678877439	0.666737869477718	0.574545175328331	0.479728462081264	0.576340968675713
TCGA-EL-A3N3-01	0.60146054487198	0.599420053367289	0.617205154821297	0.585968658540607	0.560756107122761	0.612389691838481	0.586856471002841	0.680814573578318	0.587336763850695	0.491444171495633	0.592450176033369
TCGA-EL-A3T1-01	0.607278905446354	0.605435475458818	0.627359602363996	0.594515701748157	0.566014256454338	0.622526953441253	0.592164680148178	0.687839554544898	0.592887516403741	0.484438025501935	0.602412254322167
TCGA-EL-A3T2-01	0.544390299887225	0.541379663627503	0.568476474834379	0.519241316948409	0.525140399524563	0.54482935398032	0.542558301227989	0.646111894704684	0.542944742334614	0.485854425184591	0.539082976844266
TCGA-EL-A3T3-01	0.590934449165444	0.586929745810618	0.604575690360935	0.572295301695242	0.547302689425033	0.588687186457438	0.571254997126661	0.67729895142013	0.568548687323395	0.459922022975028	0.572741905370813
TCGA-EL-A3T6-01	0.585786933208143	0.578619284603456	0.602873605496903	0.575071614821004	0.560134516215861	0.595852643453197	0.568580889376817	0.677791720650176	0.558388583402027	0.475144114212151	0.584570801715579
TCGA-EL-A3T7-01	0.590715759242324	0.588114780267192	0.604241700135062	0.572299447523384	0.542800858550125	0.585700155540812	0.568227432494187	0.681212750853491	0.571444168550105	0.476373359435032	0.575848246111719
TCGA-EL-A3T8-01	0.572201098495141	0.569306210342957	0.583764089315924	0.550209501398719	0.540571649779506	0.56697884607198	0.556021829032783	0.668741296620243	0.563281822860805	0.475827434710913	0.561661586019059
TCGA-EL-A3T9-01	0.630886529514552	0.601828683056452	0.642154472655348	0.609378039397358	0.569793316562527	0.623131435078946	0.606815330117839	0.701827390162695	0.61460508679556	0.488278162705762	0.608239777088228
