TCGA_barcode	A3KAW	A4FUK	CI1	DB	DOHH2	HT	KARPAS422	MC116	NUDHL1	NUDUL1	OCILY19	PFEIFFER	RI1	RL	SUDHL10	SUDHL4	SUDHL5	SUDHL6	SUDHL8	TOLEDO	U937	WSUDLCL2
TCGA-G8-6909-01	0.457005572365069	0.512028984455597	0.597568161064503	0.512860655076935	0.579175235967648	0.539223481676355	0.536960933664955	0.574466703241392	0.564886568367827	0.539547963318464	0.534457915089481	0.590070302689942	0.577011646564262	0.564864225810875	0.569856435044188	0.57328390279405	0.564825959075569	0.564909468432802	0.514216399872004	0.535944545522555	0.531803231846278	0.577875143220153
TCGA-G8-6914-01	0.450844396989389	0.493852987158853	0.579183835435766	0.50218409693738	0.581630951335825	0.555017001914028	0.532642359764725	0.569267134576342	0.554813896505556	0.541622597607998	0.544392724267159	0.565781916104451	0.590064200930833	0.550331172422885	0.564190454169009	0.561200163636622	0.571137718539821	0.564662935356831	0.51732169474303	0.532800844391116	0.534479138462898	0.578919735673945
TCGA-GR-7351-01	0.438215131057942	0.492219672249959	0.586741577053939	0.488393935489201	0.57112683346884	0.535541810985945	0.515069623631812	0.551677018097879	0.552292252036685	0.525846092454848	0.525368029770257	0.537931050886706	0.559195465664104	0.533992831696957	0.561877155693022	0.553035085921823	0.567550091929975	0.558581502891251	0.511332872689162	0.518531064061245	0.513925117181514	0.584643448704231
TCGA-GR-7353-01	0.437654512115081	0.493565491920342	0.560758988845812	0.510288628060257	0.575049803103523	0.535484926106672	0.518855221394846	0.560744015291497	0.527885949407137	0.513646666088038	0.521061818630694	0.570327599651029	0.572029553606593	0.546536322250593	0.55988033610664	0.563943381537397	0.553375787279207	0.563672510355269	0.484514840531638	0.52087780971896	0.492050766408287	0.586908746919923
TCGA-GR-A4D4-01	0.481482348694722	0.514160049379506	0.619840764225609	0.551225147471223	0.630762119776719	0.590115367518279	0.564168418540224	0.601212379704081	0.567692504681568	0.57423029148775	0.575717677828348	0.564810796261331	0.603332443184366	0.575351479987015	0.609189733565992	0.600496451797772	0.611942082868822	0.616197772325195	0.558539541906089	0.584539955023193	0.537671816231871	0.620751876588972
TCGA-GR-A4D5-01	0.456749516639776	0.49873185100994	0.586586970876877	0.505696519771224	0.577170874703431	0.539349529778057	0.528871736505111	0.556840782056029	0.565058012873187	0.544012766741535	0.555650839871657	0.567506960576566	0.590719069929184	0.534641336984458	0.548408698981788	0.548679019341132	0.570690905254001	0.567075744633452	0.51502740548444	0.552511541787042	0.551941306800072	0.575456337871145
TCGA-GR-A4D6-01	0.446854621559396	0.498067497453695	0.591309193621516	0.512731165477001	0.594916288150826	0.548780026447094	0.547403840252255	0.578211631448529	0.570250064561625	0.570771522668035	0.568331958718153	0.57761629242011	0.616546113875921	0.56407400328756	0.556718559026272	0.577420786790925	0.559474225773685	0.578344242641714	0.529651823731877	0.564352207563928	0.535054220282563	0.580315156961001
TCGA-GR-A4D9-01	0.510457666573891	0.548156120836911	0.64153730079067	0.551042778852902	0.624172976490842	0.593781832705861	0.569991418573994	0.604333906875471	0.608484082689832	0.599828548064219	0.597817340594037	0.603200578168322	0.618847998220192	0.568618514292254	0.594634592529362	0.591488554203385	0.620448491523716	0.625628124170974	0.579330728638709	0.613833553876344	0.575528917549477	0.609694753072088
TCGA-GS-A9TQ-01	0.490543797349014	0.536269474146249	0.649655748382624	0.590745254508462	0.666778292986869	0.627608727529589	0.60317127303344	0.637368876682384	0.619631562247509	0.622652108388739	0.625691301686358	0.623604171105871	0.650920522060445	0.622324891447608	0.636153828176186	0.642933040084067	0.630926123109277	0.658242232569527	0.596890706261144	0.62977220525275	0.577024749512061	0.638718513782289
TCGA-GS-A9TT-01	0.524756854382772	0.555706031156686	0.668285760055597	0.58854280765781	0.651127423173172	0.633083345268304	0.60286501139343	0.635595684998892	0.641099911094228	0.632013333381802	0.629796079540232	0.641203427799514	0.67879056444529	0.611307227488216	0.617252423535827	0.624182985619772	0.632669440083208	0.638536498504319	0.604104167169395	0.627350151879619	0.586982269216412	0.616312058783079
TCGA-GS-A9TU-01	0.494243413676164	0.529311774245994	0.606652341217999	0.533548011189435	0.608040295163052	0.560984379911728	0.553666310228918	0.595195027241753	0.586129436406397	0.580151339609124	0.573156884651111	0.605846235328569	0.626572700069436	0.565099209611956	0.570108145074361	0.573902212017515	0.582700946951995	0.598665186980823	0.550479193821281	0.589396862690338	0.553645482127249	0.585403565897834
TCGA-GS-A9TV-01	0.499355145492818	0.552651666263338	0.594837726435501	0.530916174791273	0.58091801213658	0.543579835594021	0.552030576826356	0.573644479343176	0.558415072156047	0.554237425887008	0.554826990739802	0.578694262438286	0.559858984636848	0.554826032752054	0.559814718068566	0.551989162656695	0.574906444943458	0.579614498394696	0.527031864624444	0.578545962366691	0.556617191621539	0.573891631589889
TCGA-GS-A9TW-01	0.484376329843537	0.526536464036893	0.615215700900339	0.518509950942866	0.601981338072654	0.55972256706964	0.550125536506929	0.591847047007876	0.57511701047741	0.553471231198253	0.563856411972847	0.592472625365103	0.586904146377892	0.554467925817041	0.582011325313526	0.56599101165176	0.588752069052216	0.592407904239523	0.537941481251173	0.569827647485282	0.556818076666469	0.595558560080928
TCGA-GS-A9TX-01	0.481251436056648	0.516305409197321	0.621558311498089	0.553720637310842	0.641725985343808	0.580549604835974	0.56139685529755	0.610877457055078	0.594378305547949	0.598232147668191	0.593661588264457	0.619826183105438	0.616342512456067	0.5814122876335	0.601122007427233	0.607567608892462	0.589627945613429	0.625447043287951	0.563175088702519	0.60478686764158	0.543263907171043	0.614392276661566
TCGA-GS-A9TY-01	0.464297016606213	0.502979716517824	0.588631081205117	0.498048197262411	0.568023507589216	0.537244023682866	0.525542215142033	0.555554533694791	0.570841591982492	0.53443722797037	0.551082812814295	0.58338009758388	0.585181450186485	0.528876403066752	0.552941650207553	0.552897761767457	0.556524466722252	0.562984156861507	0.516902206502547	0.539322851740561	0.526523504005321	0.569780340696027
TCGA-GS-A9TZ-01	0.480824566224536	0.526807733163944	0.604990812851444	0.519711053515398	0.591556832443504	0.546796412794292	0.54305173008736	0.589253171790395	0.566752229698291	0.551956452257565	0.55155774955829	0.595616021814551	0.572018566684064	0.547255007527969	0.565867180172556	0.559209967066263	0.568099492874704	0.579292543537117	0.53233983741498	0.560488745837914	0.543516654564406	0.565345329778734
TCGA-GS-A9U3-01	0.47122249607679	0.519188408775202	0.60818592815203	0.510740885144595	0.594315925945069	0.553647648930253	0.543456365582358	0.57827044891075	0.583141098993811	0.569680680241408	0.568793458733522	0.584289266610383	0.613359200380716	0.556388538626716	0.567065204573762	0.566056044922401	0.577908038446487	0.590144964268848	0.544573035729064	0.571167519913552	0.55899368104343	0.586364091621328
TCGA-GS-A9U4-01	0.474153210171524	0.51336234557984	0.592606367587775	0.470582014438191	0.560543891744634	0.520632679281224	0.509820484767181	0.550605492239098	0.55968396350534	0.531794975281088	0.536727971199037	0.546933481354414	0.556350896888486	0.514956684318236	0.531206938310473	0.513970038713776	0.548742993475581	0.545952958854297	0.50730742025437	0.532511248514421	0.552721900382245	0.556723615420583
TCGA-RQ-A68N-01	0.460852642398221	0.501747954574925	0.587566209918347	0.507136567531669	0.575031050854949	0.538333652980345	0.528548128160522	0.559797974476463	0.57223095090374	0.541124368208031	0.547647970045277	0.567638712051666	0.590684347947607	0.530451761797629	0.55787338291282	0.549770500727775	0.573008716818687	0.564143665594044	0.512883012821707	0.541608082624001	0.543863049039641	0.581345655377345
TCGA-RQ-A6JB-01	0.466025445978911	0.496455189456696	0.601364035341445	0.514033556070533	0.596584312624305	0.556530034172796	0.541300306579173	0.566911170403086	0.562606009428354	0.546775736666347	0.5524845488681	0.55805296869342	0.581701578860253	0.537812766353554	0.570500253754605	0.564683393205187	0.586676645171488	0.586083053378439	0.524782717682	0.55391927385997	0.536083011343733	0.591890181425504
TCGA-RQ-AAAT-01	0.460580850836768	0.488677722320152	0.576201065727154	0.520285101904708	0.585709342955389	0.559106948114587	0.534550134750356	0.563150613341303	0.566866295124547	0.539537494905422	0.545506048607072	0.586408529063443	0.602469696912113	0.534327758065678	0.563502048318407	0.572904074967906	0.578414617615706	0.57217173754709	0.506792819094204	0.536787347008452	0.515453864802084	0.591435289599615
TCGA-VB-A8QN-01	0.447879472712909	0.508880455419422	0.603077969390326	0.499665070807364	0.587926882002975	0.542442233860314	0.51909703284611	0.560831080655733	0.59427974193696	0.549593230126887	0.562718830342652	0.563455491545246	0.581484132373957	0.546189493484587	0.5719000566139	0.559277905148118	0.57817272170618	0.578521683005927	0.521041191269611	0.541117526538595	0.53778120769238	0.602167772129318
