TCGA_barcode	AML193	EOL1	F36P	GDM1	HEL	HEL9217	HL60	KASUMI1	KASUMI6	KG1	M07E	ME1	MOLM13	MOLM16	MONOMAC1	MONOMAC6	MV411	NB4	NOMO1	OCIAML2	OCIAML3	OCIAML5	OCIM1	P31FUJ	PL21	SIGM5	SKM1	TF1	THP1
TCGA-AB-2867-03	0.663121819169248	0.642909429178589	0.573662772694729	0.669999553776593	0.560854330565668	0.57765630983171	0.653237771398555	0.619737708383187	0.673012532023264	0.692114052832667	0.589361455649247	0.632455073178371	0.611794099136926	0.572406288671543	0.633911000646067	0.615314452883804	0.600173416489236	0.620522367316466	0.638311577574045	0.644349119422834	0.576670512140959	0.657559249279032	0.542481749892936	0.629068090342742	0.63843896347352	0.650479048590152	0.604053062398166	0.561258809935252	0.582486884594585
TCGA-AB-2869-03	0.66354038815018	0.664169447735992	0.615983854126888	0.703465599918932	0.60767557755622	0.619627561878852	0.647032555994267	0.652415523407408	0.758273031139324	0.728550085497671	0.642891706576655	0.692415092802569	0.643918663230918	0.624109881589985	0.652752707518321	0.649335417994775	0.64071425093728	0.6391424223994	0.643750833205259	0.644083520210986	0.587201459122994	0.653807616045241	0.582779705915595	0.635046887078184	0.62038110497079	0.630383711603901	0.6200421722491	0.622935309281565	0.597495359602342
TCGA-AB-2870-03	0.678131113261618	0.695159595089092	0.571711242170615	0.704305449885529	0.558652668545618	0.565019328314074	0.669109252898603	0.655062326987106	0.703758238359817	0.716119867369342	0.598071845980211	0.720881428861488	0.672203917144909	0.576481792558367	0.697054998379555	0.659550390289513	0.672302964460042	0.655278951467759	0.689723439953537	0.709844362619591	0.632126680379542	0.688595766640281	0.513655395199637	0.673510822815042	0.676948866641198	0.677783054205314	0.630936316849918	0.583849708772958	0.633761350421147
TCGA-AB-2871-03	0.650403467026966	0.640202097790346	0.611693488595943	0.701724816310732	0.62712868281313	0.634193154591057	0.619734069776504	0.641619810190282	0.744268189010996	0.737144611250299	0.633473900383446	0.677352117583288	0.626735189880045	0.620984280127538	0.63257171506673	0.617364707011926	0.610003506655888	0.621030950689284	0.627188115372746	0.635260437629304	0.574689212281274	0.651542071473576	0.567014631257593	0.618913622256411	0.602155727204446	0.618138800925277	0.61581531982707	0.616152468447681	0.591414085934374
TCGA-AB-2872-03	0.690055229450675	0.670065140085894	0.601262258961913	0.665503115442891	0.589717636546002	0.594387131280567	0.695590223146967	0.661539473030269	0.698949904810854	0.687064869640827	0.618638292454132	0.660839415171778	0.653480206054503	0.609359998655691	0.676933353093536	0.657746534349159	0.654593385026752	0.687149516676451	0.641791014465717	0.669864012897435	0.60284232309104	0.673224049099952	0.556445365156528	0.646953230443883	0.679008047891917	0.665313888101434	0.634990889066874	0.601952917330321	0.629829035478632
TCGA-AB-2873-03	0.685020512230573	0.685023136154531	0.600766724396477	0.647403063095216	0.585428310371877	0.595983625808799	0.684014313453263	0.62434833940026	0.659178820995478	0.662456252233579	0.59954496366327	0.613335679230576	0.669135740433876	0.599053379174308	0.706906236107721	0.686976156681485	0.659932586608547	0.64904170636142	0.710885169605829	0.708167316637638	0.674847967481841	0.68642282645639	0.568463689317582	0.662287238853282	0.690860749681318	0.711289428271269	0.652772958205605	0.603750557720432	0.661735938967286
TCGA-AB-2874-03	0.671005494114106	0.668464107077012	0.578565271155655	0.687030341548333	0.572618425111821	0.585173833174571	0.668520780066577	0.675243465778412	0.728009572856173	0.704131445463646	0.596676568020996	0.682760844858786	0.638847846844997	0.582544126300353	0.666955991763756	0.637129086115744	0.639944542936967	0.644617085351615	0.652269015205961	0.665908783235558	0.5832088166544	0.686159321524869	0.542765005046155	0.646195504003131	0.656525257318771	0.664252832029826	0.627664321842114	0.579053856716463	0.621776762340919
TCGA-AB-2875-03	0.666309103375404	0.664472259177177	0.596878165021391	0.684656421270116	0.570105452086732	0.581822074120406	0.643228437304717	0.689341276924093	0.713565970583298	0.705860691860362	0.610873669955273	0.696171425561144	0.640114331781321	0.60307191865716	0.654335613324747	0.637431459808308	0.642015614004237	0.640637529756373	0.643726567583942	0.650694280180405	0.588181249082441	0.675405650089894	0.548878136867976	0.631761428269894	0.637650410577026	0.651566323377119	0.618120961782311	0.590232522435288	0.605924986629606
TCGA-AB-2876-03	0.660841556057505	0.641691005810019	0.570967897927076	0.664186034064049	0.550238059858307	0.567809898499226	0.668011432958447	0.630469069621874	0.692218538086741	0.684724973792602	0.587805931663198	0.653439161851693	0.610125778261164	0.560751208635688	0.638340764621631	0.607514384417972	0.598716035167069	0.628133864413745	0.624208164272597	0.644599161209992	0.558667428533297	0.655189154492949	0.551260979500124	0.609707928376373	0.642818389431314	0.63552007252732	0.580835052268852	0.551367804318269	0.566272383113677
TCGA-AB-2877-03	0.666492312400411	0.692153337096835	0.597142720780479	0.69018025346464	0.584519147117223	0.593065655160866	0.662357839177594	0.655509384455793	0.74011581815376	0.694782010115256	0.631522199183861	0.660991729952457	0.668700579361679	0.61132296586275	0.677567219018235	0.683785568641436	0.664025350516672	0.668314562958718	0.660722107470191	0.660482996302648	0.628693919676996	0.661866575331239	0.577837160125703	0.655996297590147	0.646120134285472	0.658460423366031	0.639428213536388	0.610192084560717	0.629927709796498
TCGA-AB-2878-03	0.673118416546639	0.634267457171282	0.64667977742395	0.699893629036601	0.663109989255709	0.683195207564826	0.671598636759545	0.660789585796515	0.695541645516896	0.723305285119858	0.657762488149468	0.668887162625079	0.618733366247755	0.657596565146266	0.629097017198842	0.635038455628414	0.586894923520518	0.634918432211145	0.634396694011483	0.632075140454218	0.593452568674993	0.663322449082892	0.609041354413297	0.611802119590343	0.622420879350912	0.643210779589812	0.634786451717835	0.641160090006707	0.609342681264202
TCGA-AB-2880-03	0.654178468935517	0.678252875779597	0.580154370261868	0.673227688008318	0.560924091366393	0.566584221818668	0.645411089201866	0.631034032042622	0.705873118808678	0.69824640332622	0.605215956222236	0.665445884625437	0.632961296508605	0.577982254931495	0.65878184971317	0.626815264301935	0.644416852718995	0.626103275773797	0.6548076276797	0.663629992441788	0.585485341450202	0.6616391611061	0.539936755092879	0.639246598161402	0.651374700754932	0.643749724209739	0.586162441764567	0.573671234144505	0.594933600849824
TCGA-AB-2881-03	0.663150897805169	0.659344915987802	0.583979973018803	0.695067458088213	0.564265201622643	0.577161194903353	0.649460005919453	0.641963077066166	0.69341112359641	0.698748171801635	0.612769085356992	0.711302299188338	0.641883102508573	0.59168357729011	0.658684886924948	0.632596081058004	0.641668696284434	0.632665989180607	0.658470265828593	0.666803046282711	0.600894762458817	0.663467942364744	0.541539240753813	0.638355008534565	0.65348810745071	0.66745096828191	0.606753022630858	0.587205881184056	0.599313191990509
TCGA-AB-2882-03	0.683000143310001	0.651779416904076	0.623824864500916	0.710742660051993	0.622434865281207	0.631294649965524	0.676979763775279	0.642121558480968	0.687621489518587	0.718464956402992	0.637290207485905	0.67589007161123	0.630086401114159	0.616228801202051	0.644688531332867	0.631869181591607	0.614308602736755	0.642542530319483	0.650216081912878	0.647420562771537	0.617116986457942	0.668214068887942	0.577454806778576	0.62907732942488	0.632817502469051	0.661000396826901	0.634640576561514	0.618722237202516	0.614864319878423
TCGA-AB-2883-03	0.670641059300318	0.708775931420743	0.58828574470584	0.653735995895541	0.582967274934473	0.595540160664336	0.670130343199213	0.657430191338071	0.667094758291503	0.665449777930897	0.579401031024414	0.618267629753134	0.700129749809869	0.595888831865602	0.730079635770813	0.704341224558457	0.687072540446214	0.646071383864709	0.712762497651885	0.723930302662113	0.648806548818942	0.698769162723724	0.556366727649311	0.652745053348097	0.685923377373785	0.688085620507042	0.658929805048579	0.592361368443111	0.685151428717503
TCGA-AB-2884-03	0.686429199629281	0.71030401262323	0.584844383437148	0.693295020843616	0.573032568725618	0.581790275612314	0.682098201716596	0.640216980904711	0.717881278965434	0.702466369241235	0.603748146157679	0.660640170485401	0.691246803475031	0.591472039858053	0.719539076328276	0.695905393586996	0.692715469771432	0.661905548717405	0.721413714339884	0.707744587407525	0.669999329404793	0.696878957825279	0.554247780875758	0.681748220331359	0.68169722921727	0.700440347296161	0.650160196828613	0.596686691163098	0.650301841737849
